ShiftID,EmployeeName,Date,StartTime,EndTime
1, Jane Smith, 2024-12-01, 08:00, 16:00
2, Mike Johnson, 2024-12-01, 10:00, 18:00
3, Alice Brown, 2024-12-01, 12:00, 20:00
4, Bob White, 2024-12-02, 11:00, 19:00
5, Mary Green, 2024-12-02, 09:00, 17:00
6, Tom Black, 2024-12-02, 06:00, 14:00
7, Sarah Blue, 2024-12-02, 08:00, 16:00
8, Brian Red, 2024-12-03, 09:00, 17:00
9, David Gold, 2024-12-03, 10:00, 18:00
10, Emma White, 2024-12-03, 07:00, 15:00
11, Olivia Black, 2024-12-03, 11:00, 19:00
12, Ethan Green, 2024-12-04, 09:00, 17:00
13, Lily Red, 2024-12-04, 08:00, 16:00
14, Noah Blue, 2024-12-04, 10:00, 18:00
15, Lucas White, 2024-12-04, 12:00, 20:00
16, Ava Brown, 2024-12-05, 09:00, 17:00
17, Mia Green, 2024-12-05, 08:00, 16:00
18, Charlie Black, 2024-12-05, 10:00, 18:00
19, Grace Blue, 2024-12-05, 11:00, 19:00
